ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,3:56,15-May-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"May 15 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Son of Sam ( Bonus Track ),Shinedown,Infinity On High,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,4:06,6-Feb-07 ,I 've Got All This Ringing In My Ears And None On My Fingers,Fall Out Boy,Infinity On High,Rock,$ 0.99,( C ) 2007 The Island Def Jam Music Group,4:06,"February 6 , 2007 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Going Away For a While,Brett Eldredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:13,11-Sep-15 ,Going Away For A While,Brett Eldredge,Illinois,Country,$ 1.29,( c ) Phonotype,3:15,"September 11 , 2015 ",1
Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008 ",1
I 've Got All This Ringing In My Ears and None On My Fingers,Fall Out Boy,Infinity On High,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,4:06,6-Feb-07 ,I 've Got All This Ringing In My Ears And None On My Fingers,Fall Out Boy,Infinity On High,Rock,$ 0.99,( C ) 2007 The Island Def Jam Music Group,4:06,"February 6 , 2007 ",1
VHS Outro ( Interlude ),twenty one pilots,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,Blurryface,Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
Tackle Box,Luke Bryan,Everything Is 4,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
Going Away For a While,Brett Eldredge,Illinois,"Country , Music , Contemporary Country , Honky Tonk , Traditional Country",$ 1.29,2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:13,11-Sep-15 ,Going Away For A While,Brett Eldredge,Illinois,Country,$ 1.29,( c ) Phonotype,3:15,"September 11 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Tackle Box,The Weeknd,I 'll Stay Me,"R&B / Soul , Music , Rock , Contemporary R&B",$ 1.29,"‰ ãÑ 2012 XO & co. , Inc.",4:02,14-Aug-07 ,Gone ( Album Version ( Edited ) ) [ Clean ],Luke Bryan,Trilogy ( Edited Version ) [ Clean ],R&B,$ 1.29,"( C ) 2013 XO & co. , Inc.",4:02,"September 18 , 2015 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
I 've Got All This Ringing In My Ears and None On My Fingers,Fall Out Boy,Infinity On High,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,4:06,6-Feb-07 ,I 've Got All This Ringing In My Ears And None On My Fingers,Fall Out Boy,Infinity On High,Rock,$ 0.99,( C ) 2007 The Island Def Jam Music Group,4:06,"February 6 , 2007 ",1
Gone,The Weeknd,Trilogy,"R&B / Soul , Music , Rock , Contemporary R&B",$ 1.29,"‰ ãÑ 2012 XO & co. , Inc.",8:07,13-Nov-12 ,Gone ( Album Version ( Edited ) ) [ Clean ],The Weeknd,Trilogy ( Edited Version ) [ Clean ],R&B,$ 1.29,"( C ) 2013 XO & co. , Inc.",8:07,"September 18 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,6-Feb-07 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"February 6 , 2007 ",1
Son of Sam ( Bonus Track ),Shinedown,The Sound of Madness ( Deluxe Version ),"Rock , Music , Metal , Alternative , Grunge , Hard Rock",Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,3:37,23-Jun-08 ,Son Of Sam ( Bonus Track ),Shinedown,The Sound Of Madness [ Explicit ] [ Deluxe ],Rock,$ 0.99,2005 Z Records,3:37,"June 24 , 2008 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
I 've Got All This Ringing In My Ears and None On My Fingers,Fall Out Boy,Infinity On High,"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,4:06,6-Feb-07 ,I 've Got All This Ringing In My Ears And None On My Fingers,Fall Out Boy,Infinity On High,Rock,$ 0.99,( C ) 2007 The Island Def Jam Music Group,4:06,"February 6 , 2007 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Blurryface,Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15 ,VHS Outro ( Interlude ) [ Clean ],X Ambassadors,VHS [ Clean ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,1:26,"June 30 , 2015 ",1
Goner,twenty one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,15-May-15 ,Goner,twenty one pilots,Trilogy ( Edited Version ) [ Clean ],Alternative Rock,$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,"May 15 , 2015 ",1
X2CU,Jason Derulo,Everything Is 4,"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",$ 1.29,2015 Warner Bros. . Records Inc.,5:13,29-May-15 ,X2CU,Jason Derulo,Everything Is 4 [ Clean ],Pop,$ 1.29,2011 Because Music,5:14,"June 1 , 2015 ",1
Tackle Box,Luke Bryan,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,14-Aug-07 ,Tackle Box,Luke Bryan,I 'll Stay Me,Country,$ 1.29,"( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",4:02,"August 14 , 2007 ",1
